Trampa,Tau,Error Tau,Pc,Temperatura,Intensidad,Error Intensidad,tph,Máscara,p-valor
"(783, 197)",0.004038650812056157,0.00010347660781927657,0.7689536850113563,126,"[12.506399154663086, 56.57321548461914, 27.792112350463867, 8.099255561828613, 80.21502685546875, 75.05208587646484, 51.0985107421875, 175.18809509277344, 224.80178833007812, 350.9342346191406, 385.96563720703125, 587.814697265625, 675.7815551757812, 955.365478515625, 1072.428466796875, 1249.2607421875, 1406.2178955078125, 1554.514892578125, 1397.4765625, 1230.93310546875, 973.0875244140625, 678.2734985351562]","[50.10207746340599, 50.102093884084866, 50.09926234785485, 50.101790344502454, 50.10193849441079, 50.10106345967136, 50.10406121656015, 50.10228825505519, 50.10067119785428, 50.100151118046206, 50.10279016743652, 50.1017506988043, 50.099970488524015, 50.1003987694578, 50.10026752043741, 50.10044318610437, 50.10149284674409, 50.102732561169056, 50.10076042887622, 50.103378005663835, 50.104919727281754, 50.10102572965913]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.945615972223288
"(153, 224)",0.004438536596505928,0.00019695990552162087,0.4548703369474669,126,"[48.07604217529297, 3.825744152069092, 86.29003143310547, 19.449851989746094, 16.16086196899414, 79.08824157714844, 198.18646240234375, 121.59375, 209.26339721679688, 199.41860961914062, 233.04656982421875, 342.7452392578125, 359.8687438964844, 565.7872314453125, 642.2777099609375, 734.4249877929688, 781.547607421875, 793.9464111328125, 840.6708374023438, 743.72216796875, 670.2930297851562, 526.3482055664062]","[50.10207746340599, 50.102093884084866, 50.09926234785485, 50.101790344502454, 50.10193849441079, 50.10106345967136, 50.10406121656015, 50.10228825505519, 50.10067119785428, 50.100151118046206, 50.10279016743652, 50.1017506988043, 50.099970488524015, 50.1003987694578, 50.10026752043741, 50.10044318610437, 50.10149284674409, 50.102732561169056, 50.10076042887622, 50.103378005663835, 50.104919727281754, 50.10102572965913]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.0824024201698108
"(4, 270)",0.0021400354283074895,5.437391461916818e-05,0.7114270193188579,126,"[5.997321128845215, 10.178274154663086, 53.18764877319336, 11.621874809265137, 64.09390258789062, 159.64866638183594, 190.50967407226562, 307.24224853515625, 351.30206298828125, 528.6144409179688, 654.8983154296875, 828.8544921875, 952.3092041015625, 1239.8927001953125, 1271.8936767578125, 1321.38330078125, 1293.029541015625, 1164.0660400390625, 1003.1639404296875, 643.4888305664062, 501.29522705078125, 206.84271240234375]","[50.10207746340599, 50.102093884084866, 50.09926234785485, 50.101790344502454, 50.10193849441079, 50.10106345967136, 50.10406121656015, 50.10228825505519, 50.10067119785428, 50.100151118046206, 50.10279016743652, 50.1017506988043, 50.099970488524015, 50.1003987694578, 50.10026752043741, 50.10044318610437, 50.10149284674409, 50.102732561169056, 50.10076042887622, 50.103378005663835, 50.104919727281754, 50.10102572965913]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.8572248359893927
"(62, 231)",0.0018943248176705402,4.6475324620646896e-05,0.7330523445180273,126,"[11.357887268066406, 98.72931671142578, 61.316219329833984, 104.11175537109375, 87.58050537109375, 152.4080352783203, 227.6931610107422, 365.1733703613281, 470.17706298828125, 622.1583251953125, 678.8366088867188, 876.3712158203125, 1084.3966064453125, 1334.4180908203125, 1310.4619140625, 1415.4990234375, 1259.790771484375, 1046.9586181640625, 998.008056640625, 617.631591796875, 422.085693359375, 153.40267944335938]","[50.10207746340599, 50.102093884084866, 50.09926234785485, 50.101790344502454, 50.10193849441079, 50.10106345967136, 50.10406121656015, 50.10228825505519, 50.10067119785428, 50.100151118046206, 50.10279016743652, 50.1017506988043, 50.099970488524015, 50.1003987694578, 50.10026752043741, 50.10044318610437, 50.10149284674409, 50.102732561169056, 50.10076042887622, 50.103378005663835, 50.104919727281754, 50.10102572965913]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.21112118960540774
"(50, 10)",0.002039854504386128,5.441651988734621e-05,0.676049541837877,126,"[73.71339416503906, 27.28139877319336, 15.079166412353516, 12.857292175292969, 85.87276458740234, 150.95834350585938, 142.56695556640625, 248.17202758789062, 331.0239562988281, 518.2080078125, 706.689453125, 839.6007080078125, 1000.949462890625, 1078.969482421875, 1186.827880859375, 1277.623291015625, 1244.6593017578125, 1127.8883056640625, 911.579345703125, 547.0288696289062, 422.1318359375, 171.71176147460938]","[50.10207746340599, 50.102093884084866, 50.09926234785485, 50.101790344502454, 50.10193849441079, 50.10106345967136, 50.10406121656015, 50.10228825505519, 50.10067119785428, 50.100151118046206, 50.10279016743652, 50.1017506988043, 50.099970488524015, 50.1003987694578, 50.10026752043741, 50.10044318610437, 50.10149284674409, 50.102732561169056, 50.10076042887622, 50.103378005663835, 50.104919727281754, 50.10102572965913]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.4515795985979753
"(763, 102)",0.0019091834715503626,0.00015473625015890446,0.2219572473484231,126,"[8.355060577392578, 8.248958587646484, 97.80357360839844, 4.102232456207275, 35.33631134033203, 49.932735443115234, 39.71651840209961, 70.41934204101562, 116.884521484375, 185.7156219482422, 222.7799072265625, 231.56906127929688, 316.35491943359375, 417.6812438964844, 395.01800537109375, 441.3078918457031, 393.22515869140625, 378.95416259765625, 254.23974609375, 202.32366943359375, 64.07321166992188, 27.610118865966797]","[50.10207746340599, 50.102093884084866, 50.09926234785485, 50.101790344502454, 50.10193849441079, 50.10106345967136, 50.10406121656015, 50.10228825505519, 50.10067119785428, 50.100151118046206, 50.10279016743652, 50.1017506988043, 50.099970488524015, 50.1003987694578, 50.10026752043741, 50.10044318610437, 50.10149284674409, 50.102732561169056, 50.10076042887622, 50.103378005663835, 50.104919727281754, 50.10102572965913]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.9965167462682634
"(586, 542)",0.0021786703138087266,4.022338560690766e-05,0.9797410775057369,126,"[2.0286903381347656, 14.523706436157227, 48.3829460144043, 116.84280395507812, 160.869873046875, 251.35830688476562, 244.32662963867188, 396.68896484375, 406.7867736816406, 625.1630859375, 841.9166259765625, 1072.53955078125, 1276.193603515625, 1596.3502197265625, 1844.72998046875, 1921.7734375, 1843.460693359375, 1635.29345703125, 1388.2152099609375, 874.7363891601562, 576.6103515625, 229.14144897460938]","[50.090205751879544, 50.088873775263586, 50.0897900477119, 50.08942026030949, 50.089115769107785, 50.09061534707537, 50.08792053498317, 50.08723238639628, 50.089611630906624, 50.08980627862327, 50.08691065182022, 50.087689563804645, 50.089341990085195, 50.09041226952904, 50.086721783877756, 50.087808863063024, 50.08971441250039, 50.08695302800291, 50.087897677408044, 50.089106361775535, 50.08896993724786, 50.08726733012811]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.9291431709177336
"(70, 460)",0.0019618135456022606,4.8677308805956156e-05,0.725508110882898,126,"[3.1492462158203125, 56.54175567626953, 109.88402557373047, 144.9500274658203, 168.3502197265625, 174.14923095703125, 258.6241760253906, 293.2410888671875, 422.48101806640625, 646.1722412109375, 706.960693359375, 882.033447265625, 997.9458618164062, 1246.0457763671875, 1315.485107421875, 1429.427001953125, 1238.8499755859375, 1104.107666015625, 947.6722412109375, 628.7476806640625, 473.98760986328125, 209.79135131835938]","[50.090205751879544, 50.088873775263586, 50.0897900477119, 50.08942026030949, 50.089115769107785, 50.09061534707537, 50.08792053498317, 50.08723238639628, 50.089611630906624, 50.08980627862327, 50.08691065182022, 50.087689563804645, 50.089341990085195, 50.09041226952904, 50.086721783877756, 50.087808863063024, 50.08971441250039, 50.08695302800291, 50.087897677408044, 50.089106361775535, 50.08896993724786, 50.08726733012811]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.10478019689943958
"(618, 389)",0.0027277572316135733,0.00025971881488799257,0.19344632451501084,126,"[25.964574813842773, 25.45770263671875, 46.3946647644043, 84.60923767089844, 3.1116647720336914, 36.15086364746094, 37.409889221191406, 10.253637313842773, 17.462688446044922, 147.6275634765625, 83.28529357910156, 123.52747344970703, 170.86355590820312, 295.88092041015625, 365.7932434082031, 417.36810302734375, 377.96630859375, 424.2237243652344, 260.0653381347656, 208.27613830566406, 128.18588256835938, 66.55496215820312]","[50.090205751879544, 50.088873775263586, 50.0897900477119, 50.08942026030949, 50.089115769107785, 50.09061534707537, 50.08792053498317, 50.08723238639628, 50.089611630906624, 50.08980627862327, 50.08691065182022, 50.087689563804645, 50.089341990085195, 50.09041226952904, 50.086721783877756, 50.087808863063024, 50.08971441250039, 50.08695302800291, 50.087897677408044, 50.089106361775535, 50.08896993724786, 50.08726733012811]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.7868383011888882
"(76, 488)",1.9548580205400943e-05,4.118825686673343e-07,1.152781014643716,126,"[2091.59716796875, 2187.869140625, 2201.29736328125, 2034.638916015625, 1743.9219970703125, 1220.3502197265625, 893.5592651367188, 451.0212707519531, 249.1841278076172, 77.12971496582031, 78.24824523925781, 71.04350280761719, 17.83203125, 85.76872253417969, 17.134563446044922, 17.970096588134766, 77.61273956298828, 39.87594223022461, 47.063846588134766, 117.9296875, 8.387123107910156, 15.080820083618164]","[50.090205751879544, 50.088873775263586, 50.0897900477119, 50.08942026030949, 50.089115769107785, 50.09061534707537, 50.08792053498317, 50.08723238639628, 50.089611630906624, 50.08980627862327, 50.08691065182022, 50.087689563804645, 50.089341990085195, 50.09041226952904, 50.086721783877756, 50.087808863063024, 50.08971441250039, 50.08695302800291, 50.087897677408044, 50.089106361775535, 50.08896993724786, 50.08726733012811]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.47187878685519924
