# e/kb [K], tau_e [s·K²], error e/kb [K], error tau_e [s·K²]
3.345833966140266966e+03,2.989745903487550796e-07,3.253211837707921461e+01,5.440317581000780078e-08
3.258055944899930182e+03,3.002537249045768120e-06,9.318585288189235882e+01,1.543555245197920361e-06
3.187290499547612853e+03,8.255484196193539450e-07,4.723728498783497542e+01,2.181148627514633252e-07
3.286688156184313357e+03,4.518467474173806379e-07,3.117783216484086140e+01,7.829216797039294056e-08
3.471035510997160600e+03,1.870905828958784885e-07,2.554545437882791248e+01,2.659089241071705306e-08
3.358470434251644292e+03,1.660998105983371442e-06,4.958058590148089451e+01,4.452337225908325584e-07
3.200851720156623287e+03,3.112771377677183266e-07,2.351094936462954621e+01,4.173670484253830263e-08
3.001974474635372644e+03,2.665951221478433380e-06,1.613497830278084848e+02,2.497368399117565888e-06
2.984178270755136509e+03,1.921401460741521589e-06,5.979156248690068765e+01,6.646579212102781522e-07
3.136639378621711785e+03,7.549113198185392304e-07,6.828842005274374571e+01,2.990905429438651392e-07
3.033268267634968652e+03,2.097579487266268048e-06,9.139569780966290580e+01,1.079781902290543540e-06
3.886032839914240867e+03,2.477467296440952528e-09,3.942485419436415839e+01,5.679756171581834379e-10
3.181021625314725497e+03,3.247647882523863925e-06,3.989888768881671410e+01,7.073161052398207189e-07
3.384228024953794829e+03,2.393051440690071959e-07,3.450154000323581016e+01,4.700652126098705204e-08
2.485660810265798773e+03,7.349943212635049586e-08,2.787766977798509060e+02,1.602314638233795912e-07
3.212410674060740348e+03,4.844291350047146810e-07,3.445973688617697661e+01,9.352836808173395486e-08
4.080031869792339421e+03,1.001271670423018296e-09,2.653012895766108414e+01,1.533859546640654331e-10
3.764117706928395364e+03,5.204926611449003433e-09,4.087221137301457929e+01,1.240712873690839273e-09
3.544250629286489584e+03,6.026423219016130113e-09,3.395342012371863660e+01,1.234671709052999179e-09
3.942685124704625650e+03,3.108658759252212755e-09,2.091267667759753976e+02,3.876210132361608670e-09
